type,label,value,evidence,source_title,source_url
Other,Manslaughter charges filed,Michael Butler arrested and charged with manslaughter,Michael Butler was arrested on Wednesday and claimed to have been driving his Model 3 using Tesla's Full-Self Driving (FSD),Tesla driver faces manslaughter charges over Texas crash that killed a woman inside her home,https://www.theverge.com/transportation/961161/tesla-fsd-katy-tx-manslaughter-charges
Launch,Meta Pocket AI App Launch,Meta launched a new AI-focused app called Pocket enabling creation and sharing of interactive AI 'gizmos'.,"Meta is launching an app called Pocket with an entirely different, AI-focused pitch: this new app lets you make and share little interactive 'gizmos' built from an AI prompt",Meta has a new app called Pocket that is absolutely nothing like the old Pocket,https://www.theverge.com/tech/961086/meta-pocket-app-gizmo-ai
Benchmark,GeneBench-Pro launch,A new benchmark for AI performance in genomics and biological data analysis,"Introducing GeneBench-Pro, a research-level benchmark for AI performance in genomics, biology, and scientific research using complex, real-world datasets.","We’re introducing GeneBench-Pro, a research-level benchmark for a harder kind of AI progress: how well agents can navigate messy biological data, choose the right analysis path, and make judgment calls that real computational research depends on. https://openai.com/index/introducing-genebench-pro/",https://nitter.net/OpenAI/status/2072004836674167294#m
Model Release,GPT-5.6 Sol launch,Most robust safety stack with real-time protections,GPT‑5.6 Sol launches with our most robust safety stack yet.,"R to @OpenAI: GPT‑5.6 Sol launches with our most robust safety stack yet. We strengthened real-time protections against high-risk cyber activity and repeated misuse, then spent weeks hardening the system with human red teaming and over 700,000 A100-equivalent GPU hours of automated testing.",https://nitter.net/OpenAI/status/2070555280052826429#m
Other,Automated testing compute,"700,000 A100-equivalent GPU hours","over 700,000 A100-equivalent GPU hours of automated testing","R to @OpenAI: GPT‑5.6 Sol launches with our most robust safety stack yet. We strengthened real-time protections against high-risk cyber activity and repeated misuse, then spent weeks hardening the system with human red teaming and over 700,000 A100-equivalent GPU hours of automated testing.",https://nitter.net/OpenAI/status/2070555280052826429#m
Model Release,GPT-5.6 Sol,Most capable cybersecurity model with improved performance-efficiency for long-horizon tasks,GPT-5.6 Sol is our most capable model yet for cybersecurity. It shifts the performance-efficiency frontier for long-horizon security tasks including vulnerability research and exploitation.,R to @OpenAI: GPT-5.6 Sol is our most capable model yet for cybersecurity. It shifts the performance-efficiency frontier for long-horizon security tasks including vulnerability research and exploitation.,https://nitter.net/OpenAI/status/2070555278576439306#m
Model Release,GPT-5.6 Sol,New state-of-the-art on Terminal-Bench 2.1,GPT‑5.6 Sol sets a new state of the art on Terminal‑Bench 2.1,"R to @OpenAI: GPT‑5.6 Sol sets a new state of the art on Terminal‑Bench 2.1, which tests complex command-line workflows requiring planning, iteration, and tool coordination.",https://nitter.net/OpenAI/status/2070555276370169969#m
Model Release,Sol model performance,Step function better than GPT-5.5,Sol is our new flagship and a step function better than GPT-5.5.,"R to @OpenAI: Sol is our new flagship and a step function better than GPT-5.5. Terra delivers performance competitive to GPT-5.5 at 2x lower cost. Luna is our most cost-efficient model, delivering strong capability at our lowest cost. Together, the GPT-5.6 family gives people and developers more choice in how they balance intelligence, speed, and cost.",https://nitter.net/OpenAI/status/2070555274835046430#m
Model Release,Terra model cost efficiency,2x lower cost than GPT-5.5 with competitive performance,Terra delivers performance competitive to GPT-5.5 at 2x lower cost.,"R to @OpenAI: Sol is our new flagship and a step function better than GPT-5.5. Terra delivers performance competitive to GPT-5.5 at 2x lower cost. Luna is our most cost-efficient model, delivering strong capability at our lowest cost. Together, the GPT-5.6 family gives people and developers more choice in how they balance intelligence, speed, and cost.",https://nitter.net/OpenAI/status/2070555274835046430#m
Model Release,Luna model cost efficiency,Strong capability at lowest cost,"Luna is our most cost-efficient model, delivering strong capability at our lowest cost.","R to @OpenAI: Sol is our new flagship and a step function better than GPT-5.5. Terra delivers performance competitive to GPT-5.5 at 2x lower cost. Luna is our most cost-efficient model, delivering strong capability at our lowest cost. Together, the GPT-5.6 family gives people and developers more choice in how they balance intelligence, speed, and cost.",https://nitter.net/OpenAI/status/2070555274835046430#m
